timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay,
2024-12-06 15:21:31.885,aeneas-pod-bu-16,Pending,minikube-m02,minikube-m02,387,0,
2024-12-06 15:21:31.892,aeneas-pod-be-18,Pending,minikube-m02,minikube-m02,558,0,
2024-12-06 15:21:31.898,aeneas-pod-be-18,Pending,minikube-m02,minikube-m02,558,0,
2024-12-06 15:21:31.905,mrleo-pod-gu-20,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:31.908,julius-pod-bu-22,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 15:21:31.913,mrleo-pod-gu-20,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:31.921,julius-pod-bu-22,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 15:21:31.923,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 15:21:31.929,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 15:21:32.483,aeneas-pod-gu-6,Running,minikube,minikube,516,0,
2024-12-06 15:21:32.657,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 15:21:32.676,mrleo-pod-be-15,Pending,minikube-m02,minikube-m02,120,0,
2024-12-06 15:21:32.687,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 15:21:32.701,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 15:21:32.717,mrleo-pod-be-15,Pending,minikube-m02,minikube-m02,120,0,
2024-12-06 15:21:32.722,aeneas-pod-be-23,Pending,minikube-m02,minikube-m02,323,0,
2024-12-06 15:21:32.732,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 15:21:32.752,aeneas-pod-be-23,Pending,minikube-m02,minikube-m02,323,0,
2024-12-06 15:21:32.756,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 15:21:32.877,aeneas-pod-be-11,Running,minikube-m02,minikube-m02,575,0,
2024-12-06 15:21:32.899,aeneas-pod-bu-1,Running,minikube-m02,minikube-m02,322,0,
2024-12-06 15:21:32.919,julius-pod-bu-5,Running,minikube-m02,minikube-m02,203,0,
2024-12-06 15:21:32.951,mrleo-pod-be-9,Running,minikube-m02,minikube-m02,159,0,
2024-12-06 15:21:32.963,julius-pod-be-2,Running,minikube-m02,minikube-m02,255,0,
2024-12-06 15:21:33.035,mrleo-pod-gu-20,Running,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:33.049,julius-pod-be-12,Running,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:33.375,aeneas-pod-bu-13,Pending,minikube,minikube,464,0,
2024-12-06 15:21:33.389,aeneas-pod-bu-13,Pending,minikube,minikube,464,0,
2024-12-06 15:21:33.395,aeneas-pod-bu-21,Pending,minikube-m02,minikube-m02,399,0,
2024-12-06 15:21:33.403,aeneas-pod-bu-21,Pending,minikube-m02,minikube-m02,399,0,
2024-12-06 15:21:33.409,aeneas-pod-be-26,Pending,minikube-m02,minikube-m02,300,0,
2024-12-06 15:21:33.417,aeneas-pod-be-26,Pending,minikube-m02,minikube-m02,300,0,
2024-12-06 15:21:33.425,julius-pod-be-28,Pending,minikube-m02,minikube-m02,209,0,
2024-12-06 15:21:33.432,julius-pod-be-30,Pending,minikube,minikube,226,0,
2024-12-06 15:21:33.442,julius-pod-be-28,Pending,minikube-m02,minikube-m02,209,0,
2024-12-06 15:21:33.455,mrleo-pod-be-32,Pending,minikube,minikube,161,0,
2024-12-06 15:21:33.468,julius-pod-be-30,Pending,minikube,minikube,226,0,
2024-12-06 15:21:33.471,julius-pod-be-34,Pending,minikube,minikube,345,0,
2024-12-06 15:21:33.478,mrleo-pod-be-32,Pending,minikube,minikube,161,0,
2024-12-06 15:21:33.489,julius-pod-be-34,Pending,minikube,minikube,345,0,
2024-12-06 15:21:33.759,mrleo-pod-gu-19,Running,minikube,minikube,133,0,
2024-12-06 15:21:33.783,mrleo-pod-be-8,Running,minikube,minikube,295,0,
2024-12-06 15:21:33.813,julius-pod-bu-24,Running,minikube,minikube,193,0,
2024-12-06 15:21:34.110,aeneas-pod-be-14,Running,minikube-m02,minikube-m02,482,0,
2024-12-06 15:21:34.131,julius-pod-bu-22,Running,minikube-m02,minikube-m02,281,0,
2024-12-06 15:21:34.166,aeneas-pod-bu-16,Running,minikube-m02,minikube-m02,387,0,
2024-12-06 15:21:34.196,aeneas-pod-be-4,Running,minikube-m02,minikube-m02,463,0,
2024-12-06 15:21:34.204,mrleo-pod-gu-17,Pending,minikube-m02,minikube-m02,128,0,
2024-12-06 15:21:34.214,aeneas-pod-be-23,Running,minikube-m02,minikube-m02,323,0,
2024-12-06 15:21:34.223,julius-pod-gu-27,Pending,minikube,minikube,245,0,
2024-12-06 15:21:34.231,mrleo-pod-gu-17,Pending,minikube-m02,minikube-m02,128,0,
2024-12-06 15:21:34.236,julius-pod-be-31,Pending,minikube,minikube,136,0,
2024-12-06 15:21:34.245,julius-pod-gu-27,Pending,minikube,minikube,245,0,
2024-12-06 15:21:34.273,julius-pod-be-31,Pending,minikube,minikube,136,0,
2024-12-06 15:21:34.281,aeneas-pod-be-18,Running,minikube-m02,minikube-m02,558,0,
2024-12-06 15:21:34.512,mrleo-pod-be-15,Running,minikube-m02,minikube-m02,120,0,
2024-12-06 15:21:34.823,mrleo-pod-be-32,Running,minikube,minikube,161,0,
2024-12-06 15:21:34.848,julius-pod-be-34,Running,minikube,minikube,345,0,
2024-12-06 15:21:34.881,aeneas-pod-bu-13,Running,minikube,minikube,464,0,
2024-12-06 15:21:34.990,aeneas-pod-bu-25,Pending,minikube-m02,minikube-m02,354,0,
2024-12-06 15:21:35.002,mrleo-pod-gu-33,Pending,minikube-m02,minikube-m02,129,0,
2024-12-06 15:21:35.012,aeneas-pod-bu-25,Pending,minikube-m02,minikube-m02,354,0,
2024-12-06 15:21:35.021,mrleo-pod-gu-7,Running,minikube,minikube,167,0,
2024-12-06 15:21:35.028,mrleo-pod-bu-36,Pending,minikube-m02,minikube-m02,75,0,
2024-12-06 15:21:35.035,mrleo-pod-gu-33,Pending,minikube-m02,minikube-m02,129,0,
2024-12-06 15:21:35.042,julius-pod-be-30,Running,minikube,minikube,226,0,
2024-12-06 15:21:35.048,aeneas-pod-gu-38,Pending,minikube,minikube,502,0,
2024-12-06 15:21:35.067,mrleo-pod-bu-36,Pending,minikube-m02,minikube-m02,75,0,
2024-12-06 15:21:35.073,aeneas-pod-gu-38,Pending,minikube,minikube,502,0,
2024-12-06 15:21:35.081,julius-pod-gu-40,Pending,minikube-m02,minikube-m02,225,0,
2024-12-06 15:21:35.089,aeneas-pod-gu-42,Pending,minikube,minikube,609,0,
2024-12-06 15:21:35.111,julius-pod-gu-40,Pending,minikube-m02,minikube-m02,225,0,
2024-12-06 15:21:35.118,aeneas-pod-gu-44,Pending,minikube-m02,minikube-m02,617,0,
2024-12-06 15:21:35.124,aeneas-pod-gu-42,Pending,minikube,minikube,609,0,
2024-12-06 15:21:35.134,aeneas-pod-gu-44,Pending,minikube-m02,minikube-m02,617,0,
2024-12-06 15:21:35.138,aeneas-pod-bu-46,Pending,minikube,minikube,447,0,
2024-12-06 15:21:35.145,aeneas-pod-bu-48,Pending,minikube-m02,minikube-m02,599,0,
2024-12-06 15:21:35.155,aeneas-pod-bu-46,Pending,minikube,minikube,447,0,
2024-12-06 15:21:35.180,aeneas-pod-bu-48,Pending,minikube-m02,minikube-m02,599,0,
2024-12-06 15:21:35.974,aeneas-pod-gu-29,Pending,minikube,minikube,347,0,
2024-12-06 15:21:35.997,aeneas-pod-bu-21,Running,minikube-m02,minikube-m02,399,0,
2024-12-06 15:21:36.027,julius-pod-be-37,Pending,minikube-m02,minikube-m02,206,0,
2024-12-06 15:21:36.056,aeneas-pod-gu-29,Pending,minikube,minikube,347,0,
2024-12-06 15:21:36.090,julius-pod-be-37,Pending,minikube-m02,minikube-m02,206,0,
2024-12-06 15:21:36.100,julius-pod-bu-41,Pending,minikube,minikube,183,0,
2024-12-06 15:21:36.116,aeneas-pod-bu-45,Pending,minikube,minikube,364,0,
2024-12-06 15:21:36.121,julius-pod-bu-41,Pending,minikube,minikube,183,0,
2024-12-06 15:21:36.127,aeneas-pod-bu-45,Pending,minikube,minikube,364,0,
2024-12-06 15:21:36.132,mrleo-pod-be-9,Running,minikube-m02,minikube-m02,159,0,
2024-12-06 15:21:36.207,julius-pod-gu-27,Running,minikube,minikube,245,0,
2024-12-06 15:21:36.233,aeneas-pod-be-26,Running,minikube-m02,minikube-m02,300,0,
2024-12-06 15:21:36.263,aeneas-pod-gu-38,Running,minikube,minikube,502,0,
2024-12-06 15:21:36.303,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 15:21:36.319,julius-pod-be-28,Running,minikube-m02,minikube-m02,209,0,
2024-12-06 15:21:36.344,julius-pod-be-31,Running,minikube,minikube,136,0,
2024-12-06 15:21:36.501,mrleo-pod-gu-17,Running,minikube-m02,minikube-m02,128,0,
2024-12-06 15:21:36.669,mrleo-pod-gu-7,Succeeded,minikube,minikube,167,0,7059
2024-12-06 15:21:36.877,julius-pod-bu-35,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 15:21:36.904,mrleo-pod-gu-43,Pending,minikube,minikube,157,0,
2024-12-06 15:21:36.929,julius-pod-bu-49,Pending,minikube,minikube,126,0,
2024-12-06 15:21:36.935,julius-pod-bu-35,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 15:21:36.975,mrleo-pod-gu-43,Pending,minikube,minikube,157,0,
2024-12-06 15:21:36.978,aeneas-pod-bu-51,Pending,minikube,minikube,335,0,
2024-12-06 15:21:37.014,julius-pod-bu-53,Pending,minikube,minikube,353,0,
2024-12-06 15:21:37.022,julius-pod-bu-49,Pending,minikube,minikube,126,0,
2024-12-06 15:21:37.068,julius-pod-bu-53,Pending,minikube,minikube,353,0,
2024-12-06 15:21:37.082,mrleo-pod-bu-55,Pending,minikube,minikube-m02,135,21,
2024-12-06 15:21:37.102,aeneas-pod-bu-51,Pending,minikube,minikube,335,0,
2024-12-06 15:21:37.118,aeneas-pod-bu-57,Pending,minikube,minikube,380,0,
2024-12-06 15:21:37.135,mrleo-pod-bu-55,Pending,minikube,minikube-m02,135,21,
2024-12-06 15:21:37.141,aeneas-pod-bu-57,Pending,minikube,minikube,380,0,
2024-12-06 15:21:37.413,mrleo-pod-be-8,Running,minikube,minikube,295,0,
2024-12-06 15:21:37.457,mrleo-pod-gu-7,Succeeded,minikube,minikube,167,0,7840
2024-12-06 15:21:37.525,julius-pod-be-37,Running,minikube-m02,minikube-m02,206,0,
2024-12-06 15:21:37.531,aeneas-pod-gu-29,Running,minikube,minikube,347,0,
2024-12-06 15:21:37.560,aeneas-pod-bu-25,Running,minikube-m02,minikube-m02,354,0,
2024-12-06 15:21:37.623,aeneas-pod-bu-45,Running,minikube,minikube,364,0,
2024-12-06 15:21:37.645,julius-pod-gu-40,Running,minikube-m02,minikube-m02,225,0,
2024-12-06 15:21:37.676,mrleo-pod-be-15,Running,minikube-m02,minikube-m02,120,0,
2024-12-06 15:21:37.695,mrleo-pod-gu-19,Running,minikube,minikube,133,0,
2024-12-06 15:21:37.720,aeneas-pod-gu-44,Running,minikube-m02,minikube-m02,617,0,
2024-12-06 15:21:37.761,mrleo-pod-gu-20,Running,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:37.799,aeneas-pod-bu-46,Running,minikube,minikube,447,0,
2024-12-06 15:21:37.921,aeneas-pod-gu-42,Running,minikube,minikube,609,0,
2024-12-06 15:21:37.955,mrleo-pod-bu-36,Running,minikube-m02,minikube-m02,75,0,
2024-12-06 15:21:38.004,mrleo-pod-gu-33,Running,minikube-m02,minikube-m02,129,0,
2024-12-06 15:21:38.119,aeneas-pod-bu-48,Running,minikube-m02,minikube-m02,599,0,
2024-12-06 15:21:38.231,julius-pod-be-39,Pending,minikube,minikube,325,0,
2024-12-06 15:21:38.261,julius-pod-be-50,Pending,minikube-m02,minikube-m02,221,0,
2024-12-06 15:21:38.273,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,8656
2024-12-06 15:21:38.310,aeneas-pod-be-54,Pending,minikube,minikube-m02,819,21,
2024-12-06 15:21:38.329,julius-pod-be-39,Pending,minikube,minikube,325,0,
2024-12-06 15:21:38.351,julius-pod-be-50,Pending,minikube-m02,minikube-m02,221,0,
2024-12-06 15:21:38.361,aeneas-pod-bu-58,Pending,minikube,minikube-m02,375,21,
2024-12-06 15:21:38.393,aeneas-pod-be-54,Pending,minikube,minikube-m02,819,21,
2024-12-06 15:21:38.436,aeneas-pod-bu-58,Pending,minikube,minikube-m02,375,21,
2024-12-06 15:21:38.463,mrleo-pod-be-9,Succeeded,minikube-m02,minikube-m02,159,0,8846
2024-12-06 15:21:38.985,mrleo-pod-bu-55,Running,minikube,minikube-m02,135,21,
2024-12-06 15:21:39.029,julius-pod-bu-53,Running,minikube,minikube,353,0,
2024-12-06 15:21:39.299,julius-pod-bu-35,Running,minikube-m02,minikube-m02,281,0,
2024-12-06 15:21:39.357,mrleo-pod-gu-17,Running,minikube-m02,minikube-m02,128,0,
2024-12-06 15:21:39.396,aeneas-pod-bu-57,Running,minikube,minikube,380,0,
2024-12-06 15:21:39.454,mrleo-pod-be-9,Succeeded,minikube-m02,minikube-m02,159,0,9837
2024-12-06 15:21:39.530,mrleo-pod-gu-47,Pending,minikube,minikube,141,0,
2024-12-06 15:21:39.586,aeneas-pod-gu-59,Pending,minikube-m02,minikube,436,24,
2024-12-06 15:21:39.603,mrleo-pod-gu-47,Pending,minikube,minikube,141,0,
2024-12-06 15:21:39.624,julius-pod-be-64,Pending,minikube-m02,minikube,604,22,
2024-12-06 15:21:39.730,julius-pod-be-64,Pending,minikube-m02,minikube,604,22,
2024-12-06 15:21:39.762,aeneas-pod-gu-59,Pending,minikube-m02,minikube,436,24,
2024-12-06 15:21:39.780,julius-pod-bu-49,Running,minikube,minikube,126,0,
2024-12-06 15:21:39.828,mrleo-pod-gu-20,Succeeded,minikube-m02,minikube-m02,186,0,8934
2024-12-06 15:21:39.849,mrleo-pod-be-15,Succeeded,minikube-m02,minikube-m02,120,0,8956
2024-12-06 15:21:39.948,julius-pod-bu-41,Running,minikube,minikube,183,0,
2024-12-06 15:21:40.017,mrleo-pod-gu-43,Running,minikube,minikube,157,0,
2024-12-06 15:21:40.048,mrleo-pod-be-32,Running,minikube,minikube,161,0,
2024-12-06 15:21:40.071,aeneas-pod-bu-51,Running,minikube,minikube,335,0,
2024-12-06 15:21:40.102,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,10485
2024-12-06 15:21:40.406,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,9512
2024-12-06 15:21:40.419,mrleo-pod-be-15,Succeeded,minikube-m02,minikube-m02,120,0,9529
2024-12-06 15:21:40.461,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,10845
2024-12-06 15:21:40.796,mrleo-pod-gu-20,Succeeded,minikube-m02,minikube-m02,186,0,9904
2024-12-06 15:21:40.931,julius-pod-be-50,Running,minikube-m02,minikube-m02,221,0,
2024-12-06 15:21:40.937,mrleo-pod-gu-52,Pending,minikube-m02,minikube,197,21,
2024-12-06 15:21:40.956,julius-pod-gu-60,Pending,minikube-m02,minikube,286,22,
2024-12-06 15:21:40.970,mrleo-pod-bu-36,Running,minikube-m02,minikube-m02,75,0,
2024-12-06 15:21:40.974,julius-pod-be-69,Pending,minikube-m02,minikube,249,22,
2024-12-06 15:21:40.992,mrleo-pod-gu-52,Pending,minikube-m02,minikube,197,21,
2024-12-06 15:21:41.016,julius-pod-gu-60,Pending,minikube-m02,minikube,286,22,
2024-12-06 15:21:41.031,julius-pod-be-69,Pending,minikube-m02,minikube,249,22,
2024-12-06 15:21:41.124,julius-pod-be-39,Running,minikube,minikube,325,0,
2024-12-06 15:21:41.149,aeneas-pod-bu-58,Running,minikube,minikube-m02,375,21,
2024-12-06 15:21:41.155,mrleo-pod-gu-17,Succeeded,minikube-m02,minikube-m02,128,0,10262
2024-12-06 15:21:41.191,aeneas-pod-be-54,Running,minikube,minikube-m02,819,21,
2024-12-06 15:21:41.213,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,11596
2024-12-06 15:21:41.230,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,10336
2024-12-06 15:21:41.260,julius-pod-bu-3,Running,minikube,minikube,465,0,
2024-12-06 15:21:41.282,mrleo-pod-gu-47,Running,minikube,minikube,141,0,
2024-12-06 15:21:41.479,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,9065
2024-12-06 15:21:41.516,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,9095
2024-12-06 15:21:42.061,julius-pod-be-2,Running,minikube-m02,minikube-m02,255,0,
2024-12-06 15:21:42.118,aeneas-pod-gu-59,Running,minikube-m02,minikube,436,24,
2024-12-06 15:21:42.152,julius-pod-be-64,Running,minikube-m02,minikube,604,22,
2024-12-06 15:21:42.228,julius-pod-bu-5,Running,minikube-m02,minikube-m02,203,0,
2024-12-06 15:21:42.253,mrleo-pod-gu-52,Running,minikube-m02,minikube,197,21,
2024-12-06 15:21:42.256,mrleo-pod-be-56,Pending,minikube,minikube-m02,255,21,
2024-12-06 15:21:42.270,mrleo-pod-gu-62,Pending,minikube,minikube,235,0,
2024-12-06 15:21:42.305,mrleo-pod-bu-65,Pending,minikube,minikube-m02,162,21,
2024-12-06 15:21:42.311,mrleo-pod-be-56,Pending,minikube,minikube-m02,255,21,
2024-12-06 15:21:42.323,julius-pod-be-67,Pending,minikube-m02,minikube-m02,175,0,
2024-12-06 15:21:42.341,mrleo-pod-gu-62,Pending,minikube,minikube,235,0,
2024-12-06 15:21:42.366,mrleo-pod-gu-17,Succeeded,minikube-m02,minikube-m02,128,0,18672
2024-12-06 15:21:42.373,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,9947
2024-12-06 15:21:42.429,mrleo-pod-bu-65,Pending,minikube,minikube-m02,162,21,
2024-12-06 15:21:42.456,julius-pod-be-67,Pending,minikube-m02,minikube-m02,175,0,
2024-12-06 15:21:42.498,mrleo-pod-gu-33,Running,minikube-m02,minikube-m02,129,0,
2024-12-06 15:21:42.584,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,12969
2024-12-06 15:21:42.678,mrleo-pod-bu-36,Succeeded,minikube-m02,minikube-m02,75,0,8743
2024-12-06 15:21:43.298,mrleo-pod-be-61,Pending,minikube-m02,minikube,172,21,
2024-12-06 15:21:43.307,julius-pod-be-72,Pending,minikube,minikube,254,0,
2024-12-06 15:21:43.328,mrleo-pod-be-61,Pending,minikube-m02,minikube,172,21,
2024-12-06 15:21:43.350,julius-pod-be-72,Pending,minikube,minikube,254,0,
2024-12-06 15:21:43.503,julius-pod-bu-22,Running,minikube-m02,minikube-m02,281,0,
2024-12-06 15:21:43.535,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,13919
2024-12-06 15:21:43.573,julius-pod-be-69,Running,minikube-m02,minikube,249,22,
2024-12-06 15:21:43.595,mrleo-pod-gu-43,Running,minikube,minikube,157,0,
2024-12-06 15:21:43.632,mrleo-pod-gu-62,Running,minikube,minikube,235,0,
2024-12-06 15:21:43.673,julius-pod-bu-24,Running,minikube,minikube,193,0,
2024-12-06 15:21:43.685,julius-pod-be-67,Running,minikube-m02,minikube-m02,175,0,
2024-12-06 15:21:43.718,mrleo-pod-be-56,Running,minikube,minikube-m02,255,21,
2024-12-06 15:21:43.726,julius-pod-be-12,Running,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:43.751,mrleo-pod-bu-55,Running,minikube,minikube-m02,135,21,
2024-12-06 15:21:43.766,mrleo-pod-bu-65,Running,minikube,minikube-m02,162,21,
2024-12-06 15:21:43.829,mrleo-pod-bu-36,Succeeded,minikube-m02,minikube-m02,75,0,9894
2024-12-06 15:21:43.844,julius-pod-gu-60,Running,minikube-m02,minikube,286,22,
2024-12-06 15:21:44.122,julius-pod-bu-5,Succeeded,minikube-m02,minikube-m02,203,0,14505
2024-12-06 15:21:44.194,julius-pod-be-2,Succeeded,minikube-m02,minikube-m02,255,0,14582
2024-12-06 15:21:44.283,mrleo-pod-gu-33,Succeeded,minikube-m02,minikube-m02,129,0,11856
2024-12-06 15:21:44.462,mrleo-pod-bu-63,Pending,minikube-m02,minikube-m02,83,0,
2024-12-06 15:21:44.473,julius-pod-be-73,Pending,minikube-m02,minikube,183,22,
2024-12-06 15:21:44.512,mrleo-pod-bu-63,Pending,minikube-m02,minikube-m02,83,0,
2024-12-06 15:21:44.538,julius-pod-be-73,Pending,minikube-m02,minikube,183,22,
2024-12-06 15:21:44.838,julius-pod-be-30,Running,minikube,minikube,226,0,
2024-12-06 15:21:44.853,mrleo-pod-be-61,Running,minikube-m02,minikube,172,21,
2024-12-06 15:21:44.859,julius-pod-be-72,Running,minikube,minikube,254,0,
2024-12-06 15:21:44.893,julius-pod-be-34,Running,minikube,minikube,345,0,
2024-12-06 15:21:44.959,mrleo-pod-gu-33,Succeeded,minikube-m02,minikube-m02,129,0,11733
2024-12-06 15:21:44.965,mrleo-pod-gu-47,Running,minikube,minikube,141,0,
2024-12-06 15:21:45.019,julius-pod-bu-5,Succeeded,minikube-m02,minikube-m02,203,0,14602
2024-12-06 15:21:45.048,julius-pod-be-2,Succeeded,minikube-m02,minikube-m02,255,0,14636
2024-12-06 15:21:45.367,mrleo-pod-bu-55,Succeeded,minikube,minikube-m02,135,21,8795
2024-12-06 15:21:45.450,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,13764
2024-12-06 15:21:45.481,julius-pod-bu-22,Succeeded,minikube-m02,minikube-m02,281,0,13792
2024-12-06 15:21:45.521,mrleo-pod-gu-43,Succeeded,minikube,minikube,157,0,10785
2024-12-06 15:21:45.530,julius-pod-be-12,Succeeded,minikube-m02,minikube-m02,186,0,13840
2024-12-06 15:21:45.537,julius-pod-bu-74,Pending,minikube-m02,minikube-m02,312,0,
2024-12-06 15:21:45.558,julius-pod-bu-74,Pending,minikube-m02,minikube-m02,312,0,
2024-12-06 15:21:46.021,julius-pod-gu-27,Running,minikube,minikube,245,0,
2024-12-06 15:21:46.062,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,14368
2024-12-06 15:21:46.080,julius-pod-bu-22,Succeeded,minikube-m02,minikube-m02,281,0,14386
2024-12-06 15:21:46.129,mrleo-pod-gu-52,Running,minikube-m02,minikube,197,21,
2024-12-06 15:21:46.134,mrleo-pod-bu-55,Succeeded,minikube,minikube-m02,135,21,9570
2024-12-06 15:21:46.181,julius-pod-be-31,Running,minikube,minikube,136,0,
2024-12-06 15:21:46.192,julius-pod-be-73,Running,minikube-m02,minikube,183,22,
2024-12-06 15:21:46.226,mrleo-pod-gu-43,Succeeded,minikube,minikube,157,0,11490
2024-12-06 15:21:46.333,julius-pod-be-34,Succeeded,minikube,minikube,345,0,13107
2024-12-06 15:21:46.338,julius-pod-be-12,Succeeded,minikube-m02,minikube-m02,186,0,14644
2024-12-06 15:21:46.397,julius-pod-be-28,Running,minikube-m02,minikube-m02,209,0,
2024-12-06 15:21:46.415,mrleo-pod-gu-47,Succeeded,minikube,minikube,141,0,11679
2024-12-06 15:21:46.430,julius-pod-be-30,Succeeded,minikube,minikube,226,0,13204
2024-12-06 15:21:46.439,mrleo-pod-bu-63,Running,minikube-m02,minikube-m02,83,0,
2024-12-06 15:21:46.588,mrleo-pod-be-66,Pending,minikube-m02,minikube-m02,130,0,
2024-12-06 15:21:46.608,mrleo-pod-gu-70,Pending,minikube,minikube,182,0,
2024-12-06 15:21:46.639,mrleo-pod-be-66,Pending,minikube-m02,minikube-m02,130,0,
2024-12-06 15:21:46.644,mrleo-pod-gu-70,Pending,minikube,minikube,182,0,
2024-12-06 15:21:46.663,mrleo-pod-be-75,Pending,minikube,minikube,160,0,
2024-12-06 15:21:46.698,mrleo-pod-be-75,Pending,minikube,minikube,160,0,
2024-12-06 15:21:46.726,julius-pod-bu-79,Pending,minikube,minikube,236,0,
2024-12-06 15:21:46.754,julius-pod-bu-79,Pending,minikube,minikube,236,0,
2024-12-06 15:21:46.777,aeneas-pod-bu-86,Pending,minikube-m02,minikube,542,24,
2024-12-06 15:21:46.783,aeneas-pod-bu-86,Pending,minikube-m02,minikube,542,24,
2024-12-06 15:21:47.177,julius-pod-be-30,Succeeded,minikube,minikube,226,0,13952
2024-12-06 15:21:47.264,julius-pod-be-34,Succeeded,minikube,minikube,345,0,14037
2024-12-06 15:21:47.311,mrleo-pod-gu-47,Succeeded,minikube,minikube,141,0,12575
2024-12-06 15:21:47.763,julius-pod-be-37,Running,minikube-m02,minikube-m02,206,0,
2024-12-06 15:21:47.798,julius-pod-be-31,Succeeded,minikube,minikube,136,0,14572
2024-12-06 15:21:47.839,julius-pod-gu-40,Running,minikube-m02,minikube-m02,225,0,
2024-12-06 15:21:47.866,mrleo-pod-gu-68,Pending,minikube,minikube,178,0,
2024-12-06 15:21:47.875,julius-pod-gu-27,Succeeded,minikube,minikube,245,0,14649
